chapter	article_fact	target_file	component_count	proof_status	clean_exact_roots	all_selected_roots	article_imports_closure	helper_bucket_closure	dependency_fact_count
5	pss_paper.p_5_1_ancestor_basic_1	5/P_5_1_ancestor_basic_1.thy	1	exact-clean-proof	pss_mechanized.m_5_1_ancestor_basic_1	pss_mechanized.m_5_1_ancestor_basic_1		PSS/cross-chapter:2	3
5	pss_paper.p_5_1_ancestor_basic_2	5/P_5_1_ancestor_basic_2.thy	1	exact-clean-proof	pss_mechanized.m_5_1_ancestor_basic_2	pss_mechanized.m_5_1_ancestor_basic_2	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_ancestor_tree_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_3.thy	PSS/cross-chapter:6	11
5	pss_paper.p_5_1_ancestor_tree_1	5/P_5_1_ancestor_tree_1.thy	1	exact-clean-proof	pss_mechanized.m_5_1_ancestor_tree_1	pss_mechanized.m_5_1_ancestor_tree_1	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_3.thy	PSS/cross-chapter:3	7
5	pss_paper.p_5_1_ancestor_tree_2	5/P_5_1_ancestor_tree_2.thy	1	exact-clean-proof	pss_mechanized.m_5_1_ancestor_tree_2	pss_mechanized.m_5_1_ancestor_tree_2	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_ancestor_basic_2.thy;5/P_5_1_ancestor_tree_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_2.thy;5/P_5_1_parent_exists_3.thy;5/P_5_1_parent_exists_4.thy	PSS/cross-chapter:9;chapter-5/local:1	18
5	pss_paper.p_5_1_parent_basic_1	5/P_5_1_parent_basic_1.thy	1	exact-clean-proof	pss_mechanized.m_5_1_parent_basic_1	pss_mechanized.m_5_1_parent_basic_1			1
5	pss_paper.p_5_1_parent_basic_2	5/P_5_1_parent_basic_2.thy	1	exact-clean-proof	pss_mechanized.m_5_1_parent_basic_2	pss_mechanized.m_5_1_parent_basic_2			1
5	pss_paper.p_5_1_parent_exists_1	5/P_5_1_parent_exists_1.thy	1	exact-clean-proof	pss_mechanized.m_5_1_parent_exists_1	pss_mechanized.m_5_1_parent_exists_1			1
5	pss_paper.p_5_1_parent_exists_2	5/P_5_1_parent_exists_2.thy	1	exact-clean-proof	pss_mechanized.m_5_1_parent_exists_2	pss_mechanized.m_5_1_parent_exists_2		PSS/cross-chapter:1	2
5	pss_paper.p_5_1_parent_exists_3	5/P_5_1_parent_exists_3.thy	1	exact-clean-proof	pss_mechanized.m_5_1_parent_exists_3	pss_mechanized.m_5_1_parent_exists_3	5/P_5_1_parent_exists_1.thy	PSS/cross-chapter:1	3
5	pss_paper.p_5_1_parent_exists_4	5/P_5_1_parent_exists_4.thy	1	exact-clean-proof	pss_mechanized.m_5_1_parent_exists_4	pss_mechanized.m_5_1_parent_exists_4	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_ancestor_tree_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_2.thy;5/P_5_1_parent_exists_3.thy	PSS/cross-chapter:5;chapter-5/local:1	12
