fact	theory	serial	serial_max	component_count	source_file	source_line	concealed	has_skip_proof	depends_on_article_sorry
pss_paper.p_5_1_parent_exists_1	pss_paper	465592	465592	1	isabelle/pss_paper.thy	26	false	true	true
pss_paper.p_5_1_parent_exists_2	pss_paper	465600	465600	1	isabelle/pss_paper.thy	32	false	true	true
pss_paper.p_5_1_parent_exists_3	pss_paper	465608	465608	1	isabelle/pss_paper.thy	38	false	true	true
pss_paper.p_5_1_parent_exists_4	pss_paper	465616	465616	1	isabelle/pss_paper.thy	44	false	true	true
pss_paper.p_5_1_parent_basic_1	pss_paper	465622	465622	1	isabelle/pss_paper.thy	53	false	true	true
pss_paper.p_5_1_parent_basic_2	pss_paper	465632	465632	1	isabelle/pss_paper.thy	59	false	true	true
pss_paper.p_5_1_ancestor_basic_1	pss_paper	465640	465640	1	isabelle/pss_paper.thy	67	false	true	true
pss_paper.p_5_1_ancestor_basic_2	pss_paper	465648	465648	1	isabelle/pss_paper.thy	73	false	true	true
pss_paper.p_5_1_ancestor_tree_1	pss_paper	465656	465656	1	isabelle/pss_paper.thy	81	false	true	true
pss_paper.p_5_1_ancestor_tree_2	pss_paper	465664	465664	1	isabelle/pss_paper.thy	86	false	true	true
pss_paper.p_5_3_pred_is_oper1	pss_paper	465672	465672	1	isabelle/pss_paper.thy	96	false	true	true
pss_paper.p_5_4_F_oper_dom	pss_paper	465680	465680	1	isabelle/pss_paper.thy	115	false	true	true
pss_paper.p_5_4_F_oper_val	pss_paper	465688	465688	1	isabelle/pss_paper.thy	120	false	true	true
pss_paper.p_6_1_le_IncrFirst_inv	pss_paper	465696	465696	1	isabelle/pss_paper.thy	132	false	true	true
pss_paper.p_6_2_multi_crit_12	pss_paper	465704	465704	1	isabelle/pss_paper.thy	142	false	true	true
pss_paper.p_6_2_multi_crit_23	pss_paper	465712	465712	1	isabelle/pss_paper.thy	147	false	true	true
pss_paper.p_6_2_mono_prefix	pss_paper	465720	465720	1	isabelle/pss_paper.thy	155	false	true	true
pss_paper.p_6_2_mono_ancestor_slice	pss_paper	465728	465728	1	isabelle/pss_paper.thy	162	false	true	true
pss_paper.p_6_2_P_IncrFirst	pss_paper	465736	465736	1	isabelle/pss_paper.thy	169	false	true	true
pss_paper.p_6_2_P_components_1	pss_paper	465744	465744	1	isabelle/pss_paper.thy	176	false	true	true
pss_paper.p_6_2_P_components_2	pss_paper	465752	465752	1	isabelle/pss_paper.thy	181	false	true	true
pss_paper.p_6_2_P_additive	pss_paper	465760	465760	1	isabelle/pss_paper.thy	188	false	true	true
pss_paper.p_6_2_P_oper_1	pss_paper	465768	465768	1	isabelle/pss_paper.thy	197	false	true	true
pss_paper.p_6_2_P_oper_2	pss_paper	465776	465776	1	isabelle/pss_paper.thy	203	false	true	true
pss_paper.p_6_2_nonmulti_oper_1	pss_paper	465784	465784	1	isabelle/pss_paper.thy	212	false	true	true
pss_paper.p_6_2_nonmulti_oper_2	pss_paper	465792	465792	1	isabelle/pss_paper.thy	218	false	true	true
pss_paper.p_6_3_adm_slice	pss_paper	465800	465800	1	isabelle/pss_paper.thy	229	false	true	true
pss_paper.p_6_3_admof_slice	pss_paper	465808	465808	1	isabelle/pss_paper.thy	236	false	true	true
pss_paper.p_6_3_marked_slice	pss_paper	465816	465816	1	isabelle/pss_paper.thy	243	false	true	true
pss_paper.p_6_4_P_IdxSum	pss_paper	465824	465824	1	isabelle/pss_paper.thy	254	false	true	true
pss_paper.p_6_4_P_IdxSum_char_1	pss_paper	465832	465832	1	isabelle/pss_paper.thy	261	false	true	true
pss_paper.p_6_4_P_IdxSum_char_2	pss_paper	465840	465840	1	isabelle/pss_paper.thy	266	false	true	true
pss_paper.p_6_4_P_leftend_mono	pss_paper	465848	465848	1	isabelle/pss_paper.thy	273	false	true	true
