fact	theory	source_file	source_line	has_skip_proof	depends_on_article_sorry	consumer_chapters	dependency_chapters	consumer_article_count	bucket	availability_stage
pss_paper.buc1_2_2_OT_B_wf	pss_paper	isabelle/pss_paper.thy	817	true	false	8		0	chapter-8/local	PSS/pre-5
pss_paper.buc1_3_2a_fseq_lt	pss_paper	isabelle/pss_paper.thy	822	true	false			0	PSS/compat-unreached	PSS/pre-5
pss_paper.buc1_3_2_OT_B_closed	pss_paper	isabelle/pss_paper.thy	828	true	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.Pred_preserves_T_PS	pss_mechanized	isabelle/pss_mechanized.thy	19	false	false	6,7,8		48	PSS/cross-chapter	PSS/pre-5
pss_mechanized.Lng_Pred_lt	pss_mechanized	isabelle/pss_mechanized.thy	31	false	false			0	PSS/compat-unreached	PSS/pre-5
pss_mechanized.le0_refl	pss_mechanized	isabelle/pss_mechanized.thy	38	false	false	5,6,7,8		65	PSS/cross-chapter	PSS/pre-5
pss_mechanized.leR_refl	pss_mechanized	isabelle/pss_mechanized.thy	43	false	false	8		6	chapter-8/local	PSS/pre-5
pss_mechanized.nextrel0_rtrancl_mono	pss_mechanized	isabelle/pss_mechanized.thy	53	false	false	5,6,7,8		92	PSS/cross-chapter	PSS/pre-5
pss_mechanized.le0_ances_aux	pss_mechanized	isabelle/pss_mechanized.thy	118	false	false	5,6,7,8		87	PSS/cross-chapter	PSS/pre-5
pss_mechanized.le0_build	pss_mechanized	isabelle/pss_mechanized.thy	214	false	false	5,6,7,8	5	85	PSS/cross-chapter	PSS/after-5
pss_mechanized.nextrel1_rtrancl_mono	pss_mechanized	isabelle/pss_mechanized.thy	282	false	false	5,6,7,8		49	PSS/cross-chapter	PSS/pre-5
pss_mechanized.le1_ances_aux	pss_mechanized	isabelle/pss_mechanized.thy	289	false	false	5,6,8	5	7	PSS/cross-chapter	PSS/after-5
pss_mechanized.le0_trans	pss_mechanized	isabelle/pss_mechanized.thy	347	false	false	5,6,7,8		54	PSS/cross-chapter	PSS/pre-5
pss_mechanized.nextrel1_imp_nextrel0_rtrancl	pss_mechanized	isabelle/pss_mechanized.thy	352	false	false	5,6,7,8		50	PSS/cross-chapter	PSS/pre-5
pss_mechanized.m_le1_imp_le0	pss_mechanized	isabelle/pss_mechanized.thy	365	false	false	5,6,7,8		50	PSS/cross-chapter	PSS/pre-5
pss_mechanized.le1_build	pss_mechanized	isabelle/pss_mechanized.thy	372	false	false	5	5	2	chapter-5/local	PSS/after-5
