article_fact	clean_equivalent_fact
pss_paper.p_5_1_parent_exists_1	pss_mechanized.m_5_1_parent_exists_1
pss_paper.p_5_1_parent_exists_2	pss_mechanized.m_5_1_parent_exists_2
pss_paper.p_5_1_parent_exists_3	pss_mechanized.m_5_1_parent_exists_3
pss_paper.p_5_1_parent_exists_4	pss_mechanized.m_5_1_parent_exists_4
pss_paper.p_5_1_parent_basic_1	pss_mechanized.m_5_1_parent_basic_1
pss_paper.p_5_1_parent_basic_2	pss_mechanized.m_5_1_parent_basic_2
pss_paper.p_5_1_ancestor_basic_1	pss_mechanized.m_5_1_ancestor_basic_1
pss_paper.p_5_1_ancestor_basic_2	pss_mechanized.m_5_1_ancestor_basic_2
pss_paper.p_5_1_ancestor_tree_1	pss_mechanized.m_5_1_ancestor_tree_1
pss_paper.p_5_1_ancestor_tree_2	pss_mechanized.m_5_1_ancestor_tree_2
pss_paper.p_5_3_pred_is_oper1	pss_mechanized.m_5_3_pred_is_oper1
pss_paper.p_5_4_F_oper_dom	pss_mechanized.m_5_4_F_oper_dom
pss_paper.p_5_4_F_oper_val	pss_mechanized.m_5_4_F_oper_val
pss_paper.p_6_1_le_IncrFirst_inv	pss_mechanized.m_6_1_le_IncrFirst_inv
pss_paper.p_6_2_multi_crit_12	pss_mechanized.m_6_2_multi_crit_12
pss_paper.p_6_2_multi_crit_23	pss_mechanized.m_6_2_multi_crit_23
pss_paper.p_6_2_mono_prefix	pss_mechanized.m_6_2_mono_prefix
pss_paper.p_6_2_mono_ancestor_slice	pss_mechanized.m_6_2_mono_ancestor_slice
pss_paper.p_6_2_P_IncrFirst	pss_mechanized.m_6_2_P_IncrFirst
pss_paper.p_6_2_P_components_1	pss_mechanized.m_6_2_P_components_1
pss_paper.p_6_2_P_components_2	pss_mechanized.m_6_2_P_components_2
pss_paper.p_6_2_P_additive	pss_mechanized.m_6_2_P_additive
pss_paper.p_6_2_P_oper_1	pss_mechanized.m_6_2_P_oper_1
pss_paper.p_6_2_P_oper_2	pss_mechanized.m_6_2_P_oper_2
pss_paper.p_6_2_nonmulti_oper_1	pss_mechanized.m_6_2_nonmulti_oper_1
pss_paper.p_6_2_nonmulti_oper_2	pss_mechanized.m_6_2_nonmulti_oper_2
pss_paper.p_6_3_adm_slice	pss_mechanized.m_6_3_adm_slice
pss_paper.p_6_3_admof_slice	pss_mechanized.m_6_3_admof_slice
pss_paper.p_6_3_marked_slice	pss_mechanized.m_6_3_marked_slice
pss_paper.p_6_4_P_IdxSum	pss_mechanized.m_6_4_P_IdxSum
pss_paper.p_6_4_P_IdxSum_char_1	pss_mechanized.m_6_4_P_IdxSum_char_1
pss_paper.p_6_4_P_IdxSum_char_2	pss_mechanized.m_6_4_P_IdxSum_char_2
pss_paper.p_6_4_P_leftend_mono	pss_mechanized.m_6_4_P_leftend_mono
pss_paper.p_6_4_mono_slice_next	pss_mechanized.m_6_4_mono_slice_next
pss_paper.p_6_4_FirstNodes_TrMax_Joints	pss_mechanized.m_6_4_FirstNodes_TrMax_Joints
pss_paper.p_6_4_FirstNodes_Joints_mono	pss_mechanized.m_6_4_FirstNodes_Joints_mono_aux
pss_paper.p_6_4_FirstNodes_Joints_mono	pss_mechanized.m_6_4_FirstNodes_Joints_mono
pss_paper.p_6_4_mono_slice	pss_mechanized.m_6_4_mono_slice
pss_paper.p_6_5_Red_welldef	pss_mechanized.m_6_5_Red_welldef
