rank	fact	serial	theory	source_file	source_line
1	pss_paper.p_5_1_parent_exists_1	465592	pss_paper	isabelle/pss_paper.thy	26
2	pss_paper.p_5_1_parent_exists_2	465600	pss_paper	isabelle/pss_paper.thy	32
3	pss_paper.p_5_1_parent_exists_3	465608	pss_paper	isabelle/pss_paper.thy	38
4	pss_paper.p_5_1_parent_exists_4	465616	pss_paper	isabelle/pss_paper.thy	44
5	pss_paper.p_5_1_parent_basic_1	465622	pss_paper	isabelle/pss_paper.thy	53
6	pss_paper.p_5_1_parent_basic_2	465632	pss_paper	isabelle/pss_paper.thy	59
7	pss_paper.p_5_1_ancestor_basic_1	465640	pss_paper	isabelle/pss_paper.thy	67
8	pss_paper.p_5_1_ancestor_basic_2	465648	pss_paper	isabelle/pss_paper.thy	73
9	pss_paper.p_5_1_ancestor_tree_1	465656	pss_paper	isabelle/pss_paper.thy	81
10	pss_paper.p_5_1_ancestor_tree_2	465664	pss_paper	isabelle/pss_paper.thy	86
11	pss_paper.p_5_3_pred_is_oper1	465672	pss_paper	isabelle/pss_paper.thy	96
12	pss_paper.p_5_4_F_oper_dom	465680	pss_paper	isabelle/pss_paper.thy	115
13	pss_paper.p_5_4_F_oper_val	465688	pss_paper	isabelle/pss_paper.thy	120
14	pss_paper.p_6_1_le_IncrFirst_inv	465696	pss_paper	isabelle/pss_paper.thy	132
15	pss_paper.p_6_2_multi_crit_12	465704	pss_paper	isabelle/pss_paper.thy	142
16	pss_paper.p_6_2_multi_crit_23	465712	pss_paper	isabelle/pss_paper.thy	147
17	pss_paper.p_6_2_mono_prefix	465720	pss_paper	isabelle/pss_paper.thy	155
18	pss_paper.p_6_2_mono_ancestor_slice	465728	pss_paper	isabelle/pss_paper.thy	162
19	pss_paper.p_6_2_P_IncrFirst	465736	pss_paper	isabelle/pss_paper.thy	169
20	pss_paper.p_6_2_P_components_1	465744	pss_paper	isabelle/pss_paper.thy	176
21	pss_paper.p_6_2_P_components_2	465752	pss_paper	isabelle/pss_paper.thy	181
22	pss_paper.p_6_2_P_additive	465760	pss_paper	isabelle/pss_paper.thy	188
23	pss_paper.p_6_2_P_oper_1	465768	pss_paper	isabelle/pss_paper.thy	197
24	pss_paper.p_6_2_P_oper_2	465776	pss_paper	isabelle/pss_paper.thy	203
25	pss_paper.p_6_2_nonmulti_oper_1	465784	pss_paper	isabelle/pss_paper.thy	212
26	pss_paper.p_6_2_nonmulti_oper_2	465792	pss_paper	isabelle/pss_paper.thy	218
27	pss_paper.p_6_3_adm_slice	465800	pss_paper	isabelle/pss_paper.thy	229
28	pss_paper.p_6_3_admof_slice	465808	pss_paper	isabelle/pss_paper.thy	236
29	pss_paper.p_6_3_marked_slice	465816	pss_paper	isabelle/pss_paper.thy	243
30	pss_paper.p_6_4_P_IdxSum	465824	pss_paper	isabelle/pss_paper.thy	254
31	pss_paper.p_6_4_P_IdxSum_char_1	465832	pss_paper	isabelle/pss_paper.thy	261
32	pss_paper.p_6_4_P_IdxSum_char_2	465840	pss_paper	isabelle/pss_paper.thy	266
33	pss_paper.p_6_4_P_leftend_mono	465848	pss_paper	isabelle/pss_paper.thy	273
34	pss_paper.p_6_4_mono_slice_next	465856	pss_paper	isabelle/pss_paper.thy	280
35	pss_paper.p_6_4_FirstNodes_TrMax_Joints	465864	pss_paper	isabelle/pss_paper.thy	292
36	pss_paper.p_6_4_FirstNodes_Joints_mono	465872	pss_paper	isabelle/pss_paper.thy	307
37	pss_paper.p_6_4_mono_slice	465880	pss_paper	isabelle/pss_paper.thy	316
38	pss_paper.p_6_5_Red_welldef	465888	pss_paper	isabelle/pss_paper.thy	345
39	pss_paper.p_6_5_Red_IncrFirst	465896	pss_paper	isabelle/pss_paper.thy	352
40	pss_paper.p_6_5_Lng_Red	465904	pss_paper	isabelle/pss_paper.thy	359
41	pss_paper.p_6_5_Red_zeroT	465912	pss_paper	isabelle/pss_paper.thy	366
42	pss_paper.p_6_5_Red_le	465920	pss_paper	isabelle/pss_paper.thy	373
43	pss_paper.p_6_5_Red_monoT	465928	pss_paper	isabelle/pss_paper.thy	380
44	pss_paper.p_6_5_P_Red	465936	pss_paper	isabelle/pss_paper.thy	387
45	pss_paper.p_6_5_monoT_Red	465944	pss_paper	isabelle/pss_paper.thy	404
46	pss_paper.p_6_5_Red_idem	465952	pss_paper	isabelle/pss_paper.thy	412
47	pss_paper.p_6_5_Red_Pred	465960	pss_paper	isabelle/pss_paper.thy	419
48	pss_paper.p_6_5_Red_oper	465968	pss_paper	isabelle/pss_paper.thy	426
49	pss_paper.p_6_5_Red_adm	465976	pss_paper	isabelle/pss_paper.thy	433
